
2024/11/18 (23:33:03) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/11/18 (23:33:03) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/18 (23:33:03) | DEBUG: Shared::init() : Initialized.
2024/11/18 (23:33:03) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme

2024/11/21 (19:29:01) | ===> btop++ v.1.4.0
2024/11/21 (19:29:01) | INFO: Logger set to DEBUG
2024/11/21 (19:29:01) | DEBUG: Using locale en_US.UTF-8
2024/11/21 (19:29:01) | INFO: Running on /dev/pts/0
2024/11/21 (19:29:01) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/11/21 (19:29:01) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/11/21 (19:29:01) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/21 (19:29:01) | DEBUG: Shared::init() : Initialized.
2024/11/21 (19:29:01) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme

2024/11/22 (01:40:02) | ===> btop++ v.1.4.0
2024/11/22 (01:40:02) | INFO: Logger set to DEBUG
2024/11/22 (01:40:02) | DEBUG: Using locale en_US.UTF-8
2024/11/22 (01:40:02) | INFO: Running on /dev/pts/3
2024/11/22 (01:40:02) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/11/22 (01:40:02) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/11/22 (01:40:02) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/22 (01:40:02) | DEBUG: Shared::init() : Initialized.
2024/11/22 (01:40:02) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme

2024/11/24 (04:19:09) | ===> btop++ v.1.4.0
2024/11/24 (04:19:09) | INFO: Logger set to DEBUG
2024/11/24 (04:19:09) | DEBUG: Using locale en_US.UTF-8
2024/11/24 (04:19:09) | INFO: Running on /dev/pts/1
2024/11/24 (04:19:09) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/11/24 (04:19:09) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/11/24 (04:19:09) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/24 (04:19:09) | DEBUG: Shared::init() : Initialized.
2024/11/24 (04:19:09) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme
2024/11/24 (04:19:53) | DEBUG: Writing new config file
2024/11/24 (04:19:53) | INFO: Quitting! Runtime: 00:00:44

2024/11/25 (05:39:03) | ===> btop++ v.1.4.0
2024/11/25 (05:39:03) | INFO: Logger set to DEBUG
2024/11/25 (05:39:03) | DEBUG: Using locale en_US.UTF-8
2024/11/25 (05:39:03) | INFO: Running on /dev/pts/10
2024/11/25 (05:39:03) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/11/25 (05:39:03) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/11/25 (05:39:03) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/25 (05:39:03) | DEBUG: Shared::init() : Initialized.
2024/11/25 (05:39:03) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme

2024/11/28 (10:27:07) | ===> btop++ v.1.4.0
2024/11/28 (10:27:07) | INFO: Logger set to DEBUG
2024/11/28 (10:27:07) | DEBUG: Using locale en_US.UTF-8
2024/11/28 (10:27:07) | INFO: Running on /dev/pts/0
2024/11/28 (10:27:07) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/11/28 (10:27:07) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/11/28 (10:27:07) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/28 (10:27:08) | DEBUG: Shared::init() : Initialized.
2024/11/28 (10:27:08) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme

2024/11/28 (10:30:50) | ===> btop++ v.1.4.0
2024/11/28 (10:30:50) | INFO: Logger set to DEBUG
2024/11/28 (10:30:50) | DEBUG: Using locale en_US.UTF-8
2024/11/28 (10:30:50) | INFO: Running on /dev/pts/0
2024/11/28 (10:30:50) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/11/28 (10:30:50) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/11/28 (10:30:50) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/28 (10:30:50) | DEBUG: Shared::init() : Initialized.
2024/11/28 (10:30:50) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme

2024/11/28 (13:40:44) | ===> btop++ v.1.4.0
2024/11/28 (13:40:44) | INFO: Logger set to DEBUG
2024/11/28 (13:40:44) | DEBUG: Using locale en_US.UTF-8
2024/11/28 (13:40:44) | INFO: Running on /dev/pts/3
